Campaign_ID,Send_Date,Emails_Sent,Emails_Delivered,Unique_Opens,Open_Rate,Total_Clicks,Unique_Clicks,Click_Rate,CTR,Bounces,Bounce_Rate,Unsubscribes,Unsubscribe_Rate,Spam_Complaints,Spam_Rate,Conversions,Conversion_Rate,Revenue,Revenue_Per_Recipient,Audience_ID,Platform
CAM0151,21-11-2024,33036,30438,8054,26.46,2202,2023,6.65,7.23,2598,7.8641,898,2.9503,310,1.0185,876,2.878,13295.33,0.4368,AUD0124,Sendgrid
CAM0269,11-01-2024,56920,45694,5998,13.13,2972,1192,2.61,6.5,11226,19.7224,775,1.6961,472,1.033,1095,2.3964,8535.89,0.186805,AUD0210,Mailchimp
CAM0068,29-09-2024,15673,14827,5724,38.61,1316,779,5.25,8.88,846,5.3978,18,0.1214,24,0.1619,72,0.4856,1386.27,0.093496,AUD0150,Salesforce
CAM0137,07-11-2024,4303,4125,1896,45.96,264,157,3.81,6.4,178,4.1366,97,2.3515,32,0.7758,113,2.7394,271.61,0.065845,AUD0090,HubSpot
CAM0155,06-03-2024,59803,50746,11983,23.61,5116,4159,8.2,10.08,9057,15.1447,1296,2.5539,495,0.9754,306,0.603,1133.7,0.022341,AUD0132,Mailchimp
CAM0294,24-12-2024,97557,81210,13863,17.07,3478,1641,2.02,4.28,16347,16.7564,2336,2.8765,288,0.3546,391,0.4815,1601.85,0.019725,AUD0193,Klaviyo
CAM0248,06-08-2024,84448,77803,22228,28.57,16151,5839,7.5,20.76,6645,7.8687,1070,1.3753,505,0.6491,234,0.3008,1097.11,0.014101,AUD0096,Mailchimp
CAM0175,03-02-2024,36983,34828,17432,50.05,458,381,1.09,1.32,2155,5.827,913,2.6215,100,0.2871,155,0.445,1460.45,0.041933,AUD0204,HubSpot
CAM0276,07-03-2024,34887,32242,10785,33.45,5074,3119,9.67,15.74,2645,7.5816,385,1.1941,191,0.5924,679,2.1059,4999.96,0.155076,AUD0107,Sendgrid
CAM0201,24-04-2024,60512,55231,27789,50.31,6347,3980,7.21,11.49,5281,8.7272,1028,1.8613,75,0.1358,1193,2.16,3338.37,0.060444,AUD0075,Klaviyo
CAM0254,09-03-2024,40526,32629,8944,27.41,1067,601,1.84,3.27,7897,19.4863,590,1.8082,282,0.8643,960,2.9422,9590.47,0.293925,AUD0108,Sendgrid
CAM0058,09-08-2024,70935,65904,27385,41.55,13901,6589,10,21.09,5031,7.0924,984,1.4931,144,0.2185,1746,2.6493,16228.23,0.24624,AUD0167,Mailchimp
CAM0300,10-03-2024,2256,2179,1252,57.46,154,111,5.09,7.07,77,3.4131,25,1.1473,18,0.8261,12,0.5507,101.74,0.046691,AUD0049,Salesforce
CAM0199,23-04-2024,64951,56465,29177,51.67,3382,2903,5.14,5.99,8486,13.0652,79,0.1399,645,1.1423,1461,2.5874,8560.92,0.151615,AUD0115,Salesforce
CAM0228,14-04-2024,70965,59757,29040,48.6,8930,3509,5.87,14.94,11208,15.7937,903,1.5111,460,0.7698,333,0.5573,1906.04,0.031897,AUD0098,HubSpot
CAM0187,21-09-2024,71686,68603,18575,27.08,6178,5704,8.31,9.01,3083,4.3007,1489,2.1705,565,0.8236,511,0.7449,1276.03,0.0186,AUD0233,Sendgrid
CAM0069,14-12-2024,109299,100614,20999,20.87,9435,8864,8.81,9.38,8685,7.9461,830,0.8249,1302,1.2941,2047,2.0345,35562.87,0.353458,AUD0005,Klaviyo
CAM0018,09-04-2024,15886,15040,3056,20.32,2682,1233,8.2,17.83,846,5.3254,163,1.0838,160,1.0638,527,3.504,1969.21,0.130932,AUD0064,Mailchimp
CAM0130,16-11-2024,18749,17787,8947,50.3,3101,1449,8.15,17.43,962,5.1309,288,1.6192,159,0.8939,66,0.3711,1292.97,0.072692,AUD0204,Mailchimp
CAM0289,18-03-2024,38856,32724,7167,21.9,8410,2831,8.65,25.7,6132,15.7813,672,2.0535,49,0.1497,239,0.7304,3781.21,0.115549,AUD0035,Salesforce
CAM0089,22-02-2024,8270,8215,4361,53.09,382,140,1.7,4.65,55,0.6651,64,0.7791,87,1.059,55,0.6695,844.18,0.102761,AUD0217,Mailchimp
CAM0189,28-05-2024,44817,38741,5963,15.39,5686,2521,6.51,14.68,6076,13.5574,448,1.1564,47,0.1213,1528,3.9441,23673.67,0.611075,AUD0180,Sendgrid
CAM0094,17-04-2024,53302,47484,10668,22.47,7753,4461,9.39,16.33,5818,10.9152,1354,2.8515,236,0.497,142,0.299,2214.58,0.046638,AUD0215,Sendgrid
CAM0066,14-07-2024,6604,6188,1970,31.84,722,421,6.8,11.67,416,6.2992,14,0.2262,49,0.7919,24,0.3878,213.07,0.034433,AUD0223,HubSpot
CAM0098,04-05-2024,14383,12748,3160,24.79,852,407,3.19,6.68,1635,11.3676,55,0.4314,163,1.2786,500,3.9222,8968.01,0.703484,AUD0180,Sendgrid
CAM0254,25-08-2024,25477,20137,2653,13.17,3070,1600,7.95,15.25,5340,20.9601,83,0.4122,259,1.2862,602,2.9895,308.93,0.015341,AUD0113,Sendgrid
CAM0101,27-04-2024,28536,23499,10294,43.81,945,411,1.75,4.02,5037,17.6514,121,0.5149,328,1.3958,596,2.5363,7905.62,0.336424,AUD0055,Salesforce
CAM0150,29-05-2024,33319,26579,11310,42.55,1954,1771,6.66,7.35,6740,20.2287,503,1.8925,290,1.0911,170,0.6396,1507.9,0.056733,AUD0189,HubSpot
CAM0217,13-09-2024,6476,6031,485,8.04,383,303,5.02,6.35,445,6.8715,43,0.713,61,1.0114,110,1.8239,1547.06,0.256518,AUD0234,Sendgrid
CAM0253,20-03-2024,8403,8339,2498,29.96,166,146,1.75,1.99,64,0.7616,98,1.1752,91,1.0913,173,2.0746,1143.59,0.137138,AUD0033,Salesforce
CAM0192,05-07-2024,58236,49170,13719,27.9,11119,4045,8.23,22.61,9066,15.5677,955,1.9422,501,1.0189,975,1.9829,11197.07,0.227722,AUD0031,Sendgrid
CAM0248,13-12-2024,22011,19251,8772,45.57,1620,1244,6.46,8.42,2760,12.5392,243,1.2623,198,1.0285,132,0.6857,289.13,0.015019,AUD0141,Mailchimp
CAM0197,14-05-2024,13668,11072,1594,14.4,1401,823,7.43,12.65,2596,18.9933,145,1.3096,131,1.1832,45,0.4064,588.15,0.05312,AUD0224,HubSpot
CAM0046,21-04-2024,33027,29690,11638,39.2,4762,1862,6.27,16.04,3337,10.1039,619,2.0849,378,1.2732,1062,3.577,6777.86,0.228288,AUD0099,Klaviyo
CAM0038,02-08-2024,68362,62242,11085,17.81,6021,2627,4.22,9.67,6120,8.9523,1470,2.3617,742,1.1921,253,0.4065,2030.27,0.032619,AUD0205,Klaviyo
CAM0219,20-11-2024,32099,28484,11075,38.88,4642,1571,5.52,16.3,3615,11.262,843,2.9596,399,1.4008,102,0.3581,1763.16,0.0619,AUD0059,HubSpot
CAM0001,26-03-2024,37749,32859,11964,36.41,1365,703,2.14,4.15,4890,12.954,973,2.9611,39,0.1187,1112,3.3842,855.1,0.026023,AUD0071,HubSpot
CAM0152,12-10-2024,28777,22692,2528,11.14,3651,1814,7.99,16.09,6085,21.1454,432,1.9038,171,0.7536,110,0.4848,1560.38,0.068763,AUD0028,Salesforce
CAM0021,30-06-2024,3200,2936,1055,35.93,66,57,1.94,2.25,264,8.25,8,0.2725,40,1.3624,130,4.4278,458.88,0.156294,AUD0136,Salesforce
CAM0282,06-12-2024,43327,37434,15341,40.98,7450,3154,8.43,19.9,5893,13.6012,91,0.2431,393,1.0498,235,0.6278,3996.44,0.10676,AUD0063,HubSpot
CAM0020,29-12-2024,2397,1995,1118,56.04,68,31,1.55,3.41,402,16.771,4,0.2005,19,0.9524,11,0.5514,43.18,0.021644,AUD0213,Mailchimp
CAM0061,09-01-2024,1330,1239,551,44.47,72,25,2.02,5.81,91,6.8421,19,1.5335,14,1.1299,7,0.565,26.29,0.021219,AUD0187,Sendgrid
CAM0057,26-12-2024,759,714,381,53.36,65,53,7.42,9.1,45,5.9289,19,2.6611,3,0.4202,21,2.9412,225.02,0.315154,AUD0130,Klaviyo
CAM0199,31-05-2024,17732,16546,6285,37.99,387,203,1.23,2.34,1186,6.6885,184,1.1121,124,0.7494,551,3.3301,4226.12,0.255416,AUD0223,Salesforce
CAM0088,16-06-2024,2589,2449,1334,54.47,207,169,6.9,8.45,140,5.4075,54,2.205,0,0,16,0.6533,11.83,0.004831,AUD0190,Mailchimp
CAM0112,17-10-2024,6526,5752,1605,27.9,314,110,1.91,5.46,774,11.8603,148,2.573,47,0.8171,245,4.2594,3661.03,0.636479,AUD0095,Klaviyo
CAM0002,11-12-2024,55467,45941,9606,20.91,6930,4226,9.2,15.08,9526,17.1742,1142,2.4858,395,0.8598,975,2.1223,13289.11,0.289265,AUD0128,HubSpot
CAM0297,10-01-2024,7403,6059,3018,49.81,1730,595,9.82,28.55,1344,18.1548,15,0.2476,42,0.6932,25,0.4126,424.36,0.070038,AUD0066,Klaviyo
CAM0175,28-06-2024,11224,8963,2845,31.74,566,358,3.99,6.31,2261,20.1443,211,2.3541,99,1.1045,36,0.4017,276.53,0.030852,AUD0165,HubSpot
CAM0062,02-08-2024,65165,64808,31332,48.35,10116,4833,7.46,15.61,357,0.5478,1554,2.3979,151,0.233,466,0.719,450.27,0.006948,AUD0212,HubSpot
CAM0073,16-12-2024,35990,30752,15885,51.66,7881,2716,8.83,25.63,5238,14.554,16,0.052,304,0.9886,1258,4.0908,18468.31,0.600556,AUD0185,Sendgrid
CAM0028,21-12-2024,3906,3219,1903,59.12,420,144,4.47,13.05,687,17.5883,93,2.8891,7,0.2175,13,0.4039,17.63,0.005477,AUD0049,Mailchimp
CAM0215,08-05-2024,15669,15244,5339,35.02,1903,1091,7.16,12.48,425,2.7124,445,2.9192,20,0.1312,52,0.3411,161.38,0.010586,AUD0105,Salesforce
CAM0233,28-01-2024,52188,41546,15590,37.52,5634,1924,4.63,13.56,10642,20.3917,310,0.7462,165,0.3972,183,0.4405,2949.21,0.070987,AUD0212,Sendgrid
CAM0250,19-03-2024,23461,22495,5615,24.96,1584,1080,4.8,7.04,966,4.1175,637,2.8317,47,0.2089,145,0.6446,380.62,0.01692,AUD0232,Klaviyo
CAM0118,03-08-2024,14348,11698,3770,32.23,1056,510,4.36,9.03,2650,18.4695,338,2.8894,37,0.3163,307,2.6244,1739.97,0.148741,AUD0103,HubSpot
CAM0151,14-10-2024,16217,12964,6481,49.99,1057,439,3.39,8.15,3253,20.0592,237,1.8281,42,0.324,533,4.1114,1808.1,0.139471,AUD0118,Sendgrid
CAM0099,10-02-2024,93712,78096,20694,26.5,9885,4199,5.38,12.66,15616,16.6638,638,0.8169,1160,1.4854,1471,1.8836,12335.29,0.15795,AUD0044,HubSpot
CAM0294,05-11-2024,59770,53764,19681,36.61,905,752,1.4,1.68,6006,10.0485,1285,2.3901,102,0.1897,176,0.3274,2768.25,0.051489,AUD0192,Klaviyo
CAM0155,14-12-2024,7783,6289,3196,50.82,571,253,4.02,9.08,1494,19.1957,122,1.9399,55,0.8745,26,0.4134,425.06,0.067588,AUD0247,Mailchimp
CAM0229,23-06-2024,3357,3338,610,18.27,578,221,6.62,17.32,19,0.566,10,0.2996,42,1.2582,132,3.9545,381.39,0.114257,AUD0151,Klaviyo
CAM0294,18-06-2024,30711,24288,13614,56.05,2742,1120,4.61,11.29,6423,20.9143,367,1.511,140,0.5764,119,0.49,880.83,0.036266,AUD0196,Klaviyo
CAM0160,29-04-2024,30263,24822,5597,22.55,2359,2207,8.89,9.5,5441,17.9791,465,1.8733,93,0.3747,107,0.4311,913.12,0.036787,AUD0232,Salesforce
CAM0209,18-05-2024,36589,32307,4058,12.56,2458,1337,4.14,7.61,4282,11.703,628,1.9439,386,1.1948,798,2.4701,15867.99,0.491163,AUD0014,HubSpot
CAM0017,22-12-2024,71758,68234,40564,59.45,9293,5409,7.93,13.62,3524,4.911,1130,1.6561,499,0.7313,2909,4.2633,29953.01,0.438975,AUD0064,Salesforce
CAM0108,25-05-2024,51405,43084,4030,9.35,2814,2659,6.17,6.53,8321,16.1871,1051,2.4394,184,0.4271,286,0.6638,2773.58,0.064376,AUD0096,Mailchimp
CAM0184,22-08-2024,47349,44738,26833,59.98,5236,4363,9.75,11.7,2611,5.5144,889,1.9871,182,0.4068,1791,4.0033,32930.33,0.736071,AUD0161,Klaviyo
CAM0021,25-03-2024,958,904,517,57.19,157,53,5.86,17.37,54,5.6367,10,1.1062,12,1.3274,40,4.4248,155.5,0.172013,AUD0208,Salesforce
CAM0144,20-09-2024,16002,14520,7248,49.92,2924,1034,7.12,20.14,1482,9.2613,19,0.1309,153,1.0537,105,0.7231,1206.48,0.083091,AUD0156,Salesforce
CAM0003,03-04-2024,25172,24162,12115,50.14,4893,2348,9.72,20.25,1010,4.0124,137,0.567,16,0.0662,471,1.9493,5761.47,0.238452,AUD0099,Salesforce
CAM0040,21-06-2024,1806,1613,129,8,207,148,9.18,12.83,193,10.6866,7,0.434,17,1.0539,69,4.2777,1170.48,0.725654,AUD0122,Klaviyo
CAM0076,15-10-2024,831,658,103,15.65,60,47,7.14,9.12,173,20.8183,2,0.304,5,0.7599,3,0.4559,5.74,0.008723,AUD0154,HubSpot
CAM0245,08-07-2024,92845,91221,26062,28.57,2134,1331,1.46,2.34,1624,1.7492,412,0.4517,223,0.2445,663,0.7268,10568.84,0.11586,AUD0115,Klaviyo
CAM0176,16-03-2024,32429,29820,5086,17.06,6905,2893,9.7,23.16,2609,8.0453,832,2.7901,352,1.1804,716,2.4011,8580.92,0.287757,AUD0185,Mailchimp
CAM0098,12-05-2024,11991,10328,4768,46.17,460,340,3.29,4.45,1663,13.8687,5,0.0484,109,1.0554,345,3.3404,5895.97,0.570872,AUD0171,Sendgrid
CAM0173,24-07-2024,37690,29660,11663,39.32,8050,2743,9.25,27.14,8030,21.3054,208,0.7013,252,0.8496,1283,4.3257,4160.19,0.140263,AUD0196,HubSpot
CAM0104,17-03-2024,49346,39315,10235,26.03,3156,1389,3.53,8.03,10031,20.3279,1136,2.8895,485,1.2336,1418,3.6068,20874.49,0.530955,AUD0122,HubSpot
CAM0055,09-03-2024,3250,2847,620,21.78,91,81,2.85,3.2,403,12.4,22,0.7727,4,0.1405,51,1.7914,409.31,0.143769,AUD0208,Klaviyo
CAM0213,06-10-2024,55504,54857,29620,53.99,4996,2843,5.18,9.11,647,1.1657,911,1.6607,88,0.1604,282,0.5141,4892.41,0.089185,AUD0132,HubSpot
CAM0137,16-06-2024,21830,20586,4061,19.73,2559,985,4.78,12.43,1244,5.6986,30,0.1457,8,0.0389,515,2.5017,1309.2,0.063597,AUD0113,HubSpot
CAM0142,29-09-2024,22900,18699,5146,27.52,2917,1393,7.45,15.6,4201,18.345,504,2.6953,27,0.1444,106,0.5669,1321.4,0.070667,AUD0116,Klaviyo
CAM0130,22-03-2024,63773,59402,18075,30.43,8825,3985,6.71,14.86,4371,6.854,790,1.3299,53,0.0892,266,0.4478,5187.2,0.087324,AUD0227,Mailchimp
CAM0233,12-04-2024,54145,50349,22931,45.54,5728,3743,7.43,11.38,3796,7.0108,443,0.8799,183,0.3635,162,0.3218,1887.22,0.037483,AUD0198,Sendgrid
CAM0289,16-09-2024,64849,52723,14110,26.76,3821,2405,4.56,7.25,12126,18.6988,1056,2.0029,476,0.9028,205,0.3888,205.38,0.003895,AUD0229,Salesforce
CAM0087,25-09-2024,6097,5592,3288,58.8,343,279,4.99,6.13,505,8.2828,132,2.3605,39,0.6974,39,0.6974,221.04,0.039528,AUD0244,Salesforce
CAM0005,13-09-2024,71819,62002,16922,27.29,3509,2556,4.12,5.66,9817,13.6691,112,0.1806,412,0.6645,1556,2.5096,26176.64,0.42219,AUD0205,Sendgrid
CAM0005,31-07-2024,9744,7729,3641,47.11,618,528,6.83,8,2015,20.6794,82,1.0609,63,0.8151,341,4.412,4091.89,0.52942,AUD0074,Sendgrid
CAM0281,02-06-2024,36780,29170,8205,28.13,4672,1594,5.46,16.02,7610,20.6906,605,2.074,409,1.4021,162,0.5554,825.39,0.028296,AUD0100,Sendgrid
CAM0262,15-04-2024,39671,31616,17371,54.94,4615,2303,7.28,14.6,8055,20.3045,855,2.7043,380,1.2019,191,0.6041,2405.71,0.076092,AUD0183,Salesforce
CAM0021,12-12-2024,2470,2430,761,31.32,308,231,9.51,12.67,40,1.6194,16,0.6584,7,0.2881,46,1.893,93.3,0.038395,AUD0076,Salesforce
CAM0119,09-07-2024,7633,6285,3191,50.77,260,119,1.89,4.14,1348,17.6602,62,0.9865,68,1.0819,41,0.6523,90.08,0.014333,AUD0199,HubSpot
CAM0268,07-09-2024,73423,63542,15859,24.96,3801,1984,3.12,5.98,9881,13.4576,1669,2.6266,751,1.1819,2212,3.4812,23646.19,0.372135,AUD0035,Sendgrid
CAM0150,09-10-2024,14249,11458,1808,15.78,1459,674,5.88,12.73,2791,19.5873,331,2.8888,18,0.1571,39,0.3404,612.34,0.053442,AUD0213,HubSpot
CAM0086,02-03-2024,19249,18604,10002,53.76,2512,1644,8.84,13.5,645,3.3508,368,1.9781,160,0.86,95,0.5106,366.5,0.0197,AUD0069,Salesforce
CAM0162,15-12-2024,53318,43237,17143,39.65,3302,3065,7.09,7.64,10081,18.9073,1156,2.6736,217,0.5019,175,0.4047,2632.37,0.060882,AUD0112,Klaviyo
CAM0149,06-09-2024,35703,34734,3144,9.05,4609,2870,8.26,13.27,969,2.7141,304,0.8752,257,0.7399,213,0.6132,514.45,0.014811,AUD0080,Salesforce
CAM0241,20-12-2024,14736,12216,2886,23.62,2354,924,7.56,19.27,2520,17.101,121,0.9905,133,1.0887,419,3.4299,939.02,0.076868,AUD0057,Klaviyo
CAM0190,24-01-2024,4118,3399,1728,50.84,644,256,7.53,18.95,719,17.4599,88,2.589,41,1.2062,108,3.1774,388.8,0.114387,AUD0220,Salesforce
CAM0061,27-02-2024,10694,9972,2889,28.97,1616,789,7.91,16.21,722,6.7514,172,1.7248,26,0.2607,69,0.6919,304.58,0.030544,AUD0136,Sendgrid
CAM0098,12-04-2024,8053,6713,2130,31.73,1491,619,9.22,22.21,1340,16.6398,57,0.8491,83,1.2364,212,3.1581,2732.78,0.407088,AUD0159,Sendgrid
CAM0135,07-02-2024,16736,15505,3191,20.58,1508,797,5.14,9.73,1231,7.3554,447,2.8829,111,0.7159,84,0.5418,605.88,0.039076,AUD0152,Salesforce
CAM0136,18-11-2024,17451,16421,7195,43.82,932,526,3.2,5.68,1030,5.9022,87,0.5298,141,0.8587,120,0.7308,2065.64,0.125793,AUD0036,Salesforce
CAM0215,07-03-2024,85353,70706,13257,18.75,9585,4730,6.69,13.56,14647,17.1605,1838,2.5995,1025,1.4497,429,0.6067,4180.56,0.059126,AUD0192,Salesforce
CAM0177,12-09-2024,4835,4444,1744,39.24,37,25,0.56,0.83,391,8.0869,107,2.4077,20,0.45,32,0.7201,417.07,0.09385,AUD0181,Salesforce
CAM0139,25-04-2024,28274,27497,14376,52.28,1919,1336,4.86,6.98,777,2.7481,258,0.9383,216,0.7855,159,0.5782,1891.7,0.068797,AUD0036,Salesforce
CAM0226,27-02-2024,1463,1302,552,42.4,192,110,8.45,14.75,161,11.0048,25,1.9201,11,0.8449,33,2.5346,86.07,0.066106,AUD0198,Salesforce
CAM0110,30-08-2024,1022,871,194,22.27,48,31,3.56,5.51,151,14.775,17,1.9518,12,1.3777,30,3.4443,125.19,0.143731,AUD0002,Mailchimp
CAM0244,16-07-2024,8975,8477,4644,54.78,1799,691,8.15,21.22,498,5.5487,154,1.8167,84,0.9909,51,0.6016,742.82,0.087628,AUD0177,Salesforce
CAM0182,25-05-2024,33095,32911,7072,21.49,2616,1473,4.48,7.95,184,0.556,50,0.1519,350,1.0635,1100,3.3423,4623.68,0.14049,AUD0105,Klaviyo
CAM0291,16-03-2024,48115,44909,19620,43.69,5750,2947,6.56,12.8,3206,6.6632,1268,2.8235,244,0.5433,1172,2.6097,4470.88,0.099554,AUD0142,Mailchimp
CAM0238,26-05-2024,86694,83958,14624,17.42,1504,1198,1.43,1.79,2736,3.1559,682,0.8123,1019,1.2137,540,0.6432,2197.71,0.026176,AUD0115,Sendgrid
CAM0225,24-05-2024,89591,87208,36654,42.03,3294,2277,2.61,3.78,2383,2.6599,2285,2.6202,555,0.6364,609,0.6983,4718.41,0.054105,AUD0065,Klaviyo
CAM0024,27-07-2024,38875,32780,17131,52.26,4451,1629,4.97,13.58,6095,15.6785,580,1.7694,464,1.4155,653,1.9921,11652.01,0.355461,AUD0144,Sendgrid
CAM0234,16-12-2024,66098,53259,23112,43.4,5381,2947,5.53,10.1,12839,19.4242,1394,2.6174,124,0.2328,2385,4.4781,17129.22,0.321621,AUD0135,Salesforce
CAM0192,08-10-2024,30487,24718,13062,52.84,635,547,2.21,2.57,5769,18.9228,254,1.0276,365,1.4767,654,2.6458,1066.85,0.043161,AUD0105,Sendgrid
CAM0162,29-04-2024,59751,50119,23847,47.58,2663,1053,2.1,5.31,9632,16.1202,748,1.4924,575,1.1473,170,0.3392,2122,0.042339,AUD0010,Klaviyo
CAM0184,02-03-2024,83532,72866,22085,30.31,3703,3669,5.04,5.08,10666,12.7688,1183,1.6235,800,1.0979,3180,4.3642,56903.32,0.780931,AUD0219,Klaviyo
CAM0268,31-01-2024,99701,95627,17126,17.91,14930,6626,6.93,15.61,4074,4.0862,749,0.7833,997,1.0426,2610,2.7294,7866.93,0.082267,AUD0065,Sendgrid
CAM0127,10-11-2024,50772,45096,10786,23.92,551,505,1.12,1.22,5676,11.1794,1284,2.8473,310,0.6874,240,0.5322,2572.87,0.057053,AUD0039,HubSpot
CAM0058,12-06-2024,7605,7383,4412,59.76,776,277,3.75,10.51,222,2.9191,81,1.0971,21,0.2844,321,4.3478,5908.01,0.800218,AUD0082,Mailchimp
CAM0120,17-10-2024,53373,41850,8229,19.66,5865,4124,9.85,14.01,11523,21.5896,47,0.1123,318,0.7599,148,0.3536,2126.26,0.050807,AUD0146,Klaviyo
